Book_No	Title	Sub_Title	Author	Publisher	Year_This_Ed	ISBN	Subject	Topic	Class_1	Class_2	Class_3	new c1	new c2	newc3	Translator	Year_1st_Pub	Synopsis	Medium
13358	"Eastern Question, The"	A Study in International Relations	"Anderson, M S"	Macmillan	1966		History	Middle East	956	AND		956	AND					
14254	Cecil Collins:  The Quest For The Great Happiness		"Anderson, William"	Barrie and Jenkins	1988	0 7126 2066			750	COL		759.2	AND					
10351	"Mechanism of Nature, The"	Being a Simple Approach to Modern Views on the Structure of Matter and Radiation	"Andrade, E N da C"	G. Bell & Sons Ltd. - London	1930		Pure Science	Physics	530	AND		530	AND					
11253	"People Called Shakers, The"	A Search for the Perfect Society	"Andrews, Edward Deming"	Dover Publications Inc. - New York	1963	486-21081-2	Religion	Christian Churches & Sects - Other Christian Sects	289	AND		289.9	AND					
12607	Love as a Special Way of Feeling		"Anglund, Joan Walsh"	William Collins Sons & Co. Ltd.	1968		Literature & Rhetori	English Miscellaneous Writings	827	ANG		828	ANG					
11238	"Mystery Religions & Christianity, The"	A Study in the Religious Background of Early Christianity	"Angus, S"	Dover Publications - New York	1975	0-486-23124-0	Religion	Christian Church History	217	ANG		209	ANG					
11234	"Many Ways of Being, The"	A Guide to Spiritual Groups and Growth Centres in Britain	"Annett, Stephen (Ed)"	Sphere Books Ltd. - London	1976	0 349 10071 3	Religion	Other Religions - Comparative Religion	291	ANN		133	ANN					
10684	"Death of King Arthur, The"	translated by James Cable	Anon	Penguin Books	1971	0 14044 255 3	Literature	French Literature - French Miscellany	848	CAB		398	ANO					
11207	"High History of the Holy Grail, The"	translated by Sebastian Evans	Anon	James Clarke & Co. Ltd. - Cambridge	1969		Literature	French Literature - French Miscellany	848	EVA		398	ANO					
11195	"Praises of Wisdom, The"	"Being Part 1 of The Book Of Wisdom, BLAKENEY - E. H. (TRANS)"	Anon	Basil Blackwell - Oxford	1937		Religion	Bible - Apocrypha & Deuterocanonical	212.9	BLA		229	ANO					
11179	"Book of Enoch, The"	CHARLES - R. H. (TRANS)	Anon	SPCK - London	1982	0 281 01261 X	Religion	Bible - Apocrypha & Deuterocanonical	212.9	CHA		229	ANO					
11178	"Apocrypha, The"	Translated out of the Greek and Latin Tongues	Anon	Oxford University Press	1927		Religion	Bible - Apocrypha & Deuterocanonical	212.9	TRA		229	ANO					
10661	"Cloud of Unknowing, The"	And Other Treatises	Anon	Burns - Oats & Washbourne Ltd. - London	1943		Religion	Devotional & Practical - Meditations & Contemplations	214.2	ANO		242	ANO					
15548	"Prayers and Meditations of Saint Anselm, The"	with the Proslogion - Ward - Sister Beendicta (transl)	Anselm (Saint)	Penguin	1973				242	ANS		242	ANS					
