Book_No,Title,Sub_Title,Author,Publisher,Year_This_Ed,ISBN,Subject,Topic,Class_1,Class_2,Class_3,Translator,Year_1st_Pub,Synopsis,Medium
15762,SIEBEN FINNISCHE MALERINNEN,,Churberg - Fanny et al,Martinpaino,1983,,,,750,CHU,,,,,
15374,THE GNOSTICS,,Churton - Tobias,George Weidenfeld & Nicolson,1995,0-297-81104-5,,,281,CHU,,,,,
11424,BEN JONSON OF WESTMINSTER,,CHUTE - MARCHETTE,The New English Library,1962,,Biography,Ben Jonson,JON,CHU,,,,,
13476,AN APOLOGY FOR HIS LIFE,with an appreciation by William Hazlitt,Cibber - Colley,J. M. Dent & Sons,,,,,920,CIB,,,,,
11765,LETTERS TO ATTICUS,,CICERO,Harvard University Press,1980,0 434 99007 8,Literature,Latin Literature - Latin Letters,876,CIC,,,,,
12722,OFFICES AND SELECT LETTERS,,CICERO,J. M. Dent & Sons Ltd,1953,,Literature,Italic Literatures - Latin Misc. Writings Miscellaneous Writings,878,CIC,,,,,
15240,SELECTED WORKS,,Cicero,Penguin,1960,,,,878,CIC,,,,,
12720,NATURE OF THE GODS ~ THE,,CICERO (MCGREGOR - H. C. P. - TRANS),Penguin,1972,0 14 044 265 0,Literature,Italic Literatures - Latin Misc. Writings Miscellaneous Writings,888,CIC,,,,,
16384,OFFICES - ESSAYS - AND LETTERS,,Cicero - Marcus Tullius,J. M. Dent,1909,,,,878,CIC,,,,,
11988,BEFORE THE INDUSTRIAL REVOLUTION,European Society and Economy - 1000-1700,CIPOLLA - CARLO M.,Methuen & Co. Ltd. - London,1976,0 416 80910 3,History,Europe - England,942,CIP,,,,,
13020,FONTANA ECONOMIC HISTORY OF EUROPE ~ THE,The Industrial Revolution,CIPOLLA - CARLO M. (ED),Fontana/Collins,1976,0 00633163 7,Geography and Histor,General History of Europe - Britsih Isles,941,CIP,,,,,
13021,FONTANA ECONOMIC HISTORY OF EUROPE ~ THE,The Sixteenth and Seventeenth Centuries,CIPOLLA - CARLO M. (ED),Fontana/Collins,1976,0 00633471 7,Geography and Histor,General History of Europe - Britsih Isles,941,CIP,,,,,
12540,DICTIONARY OF SYMBOLS ~ A,,CIRLOT - J. E.,Routledge,1988,0 415 03649 6,Philosophy,General Psychology,150,CIR,,,,,
14336,THE LIFE & TIMES OF THE ENGLISH LANGUAGE,the history of our marvellous native tongue,Clairborne - Robert,Bloomsbury Publishing,1990,07475 0988 3,,,420,CLA,,,,,
11379,WHAT THE LIGHT WAS LIKE,,CLAMPITT - AMY,Faber and Faber - London,1985,0-571-13814-4,Literature,American Literature - American Poetry,811,CLA,,,,,
13768,CLARE:  SELECTED POEMS AND PROSE,edited by Eric Robinson and Geoffrey Summerfield,Clare - John,Oxford University Press,1966,,,,821,CLA,,,,,
11989,MAKING OF VICTORIAN ENGLAND ~ THE,,CLARK - G. KITSON,Methuen & Co. Ltd. - London,1965,,History,Europe - England,942,CLA,,,,,
10667,MEISTER ECKHART: SELECTED TREATISES AND SERMONS,,CLARK - J. M. & J. V. SKINNER (TRANS),Collins - London,1963,,Religion,Religion - Philosophy & Theories,201,CLA,,,,,
11410,LEONARDO DA VINCI,An Account of his Development as an Artist,CLARK - KENNETH,Penguin Books,1963,,The Arts,The Arts - History of Art,709,CLA,,,,,
12841,ROMANTIC REBELLION ~ THE,Romantic versus classic art,CLARK - KENNETH,Futura Publications Ltd,1973,0 8600 7718 7,The Arts,Philosophy & Theory,701,CLA,,,,,
12363,Maurice Maeterlinck,Poet and Philosopher,Clark - Macdonald,George Allen & Unwin Ltd.,1915,,Biography,Maurice Maeterlinck,MAE,Cla,,,,,
12742,EDWARD BAWDEN,,CLARK - SIR KENNETH (ED),Penguin,1946,,The Arts,Painting -  Historical - Areas - Persons,759,CLA,,,,,
10237,HISTORY OF THE PRIMATES,An Introduction to the Study of Fossil Man,CLARK - W.E. LE GROS,British Museum - London,1962,,Pure Science,Anthropology & Biology - Physical Anthropology,573,CLA,,,,,
15372,BASIC COMMUNITIES,Towards an Alternative Society,Clark - David,SPCK,1977,,,,301,CLA,,,,,
15819,LEONARDO DA VINCI,,Clark - Kenneth,The Folio Society,2005,,,,750,VIN,,,,,
15123,THE NUDE,A Study of Ideal Art,Clark - Kenneth,Penguin,1960,,,,757,CLA,,,,,
13891,BLAKE - KIERKEGAARD AND THE SPECTRE OF DIALECTIC,,Clark - Lorraine,Cambridge University Press,1991,0-521-395097,,,824,BLA,,,,,
16322,MARK AKENSIDE - JAMES MACPHERSON AND EDWARD YOUNG : SELECTED POETRY,,Clark - S. H. (ed.),Carcanet,1994,0-8563-5927-0,,,821,AKE,,,,,
14484,ART AND PROPAGANDA,in the twentieth century,Clark - Toby,Weidenfeld and Nicolson,1997,0297-83615-3,,,709,CLA,,,,,
12418,Capote,A Biography,Clarke - Gerald,Cardinal,1988,0 7474 0352 X,Biography,Truman Capote,CAP,Cla,,,,,
